feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Gm10801	type	wound	31.3996084845187	2.63371617794792	2.331479822822e-21	3.63244556395668e-18	CPLM	1.718	109	27	75
Fgfr2	type	wound	2.06540656679369	0.184689774086661	1.0698980726296e-19	8.33450598578457e-17	CPLM	1.01	109	58	47
Ptprd	type	wound	2.73793362534337	0.287047028296782	5.66824787126503e-16	2.94371006114364e-13	CPLM	1.01	109	35	68
Malat1	type	wound	-5.97300719159442	0.680185806928632	2.88259602385791e-14	1.12277115129266e-11	CPLM	1.282	109	85	22
Lrrc4c	type	wound	2.99452921923502	0.350302389619286	9.58628287356368e-14	2.98708574340244e-11	CPLM	1.01	109	21	81
Epha6	type	wound	3.92908185970445	0.475614452395997	4.18740140434572e-13	1.08732856466177e-10	CPLM	1.01	109	16	85
Chl1	type	wound	5.84941151436339	0.71836869610476	7.66725680288736e-13	1.70651229984264e-10	CPLM	1.01	109	19	83
Zfhx3	type	wound	2.91157109346841	0.363165033361352	1.45200298785931e-12	2.82777581885601e-10	CPLM	1.01	109	23	79
Gm42418	type	wound	-1.4503855917142	0.194520057256596	2.45278422551374e-11	4.2460420259449e-09	CPLM	1.683	109	109	0
Gm37240	type	wound	3.43497713247123	0.485232167922289	1.58835382180505e-10	2.47465525437226e-08	CPLM	1.01	109	16	85
Macrod2	type	wound	2.25539448628643	0.324796195706843	3.0764865667366e-10	4.35742370088694e-08	CPLM	1.08	109	29	73
Cntn5	type	wound	4.09347735443809	0.595640090203404	4.36130407110444e-10	5.2268551867544e-08	CPLM	1.01	109	12	89
Anks1b	type	wound	3.67429169801244	0.534444369092442	4.30703764789566e-10	5.2268551867544e-08	CPLM	1.01	109	15	86
Nkain2	type	wound	3.25499336646541	0.478157493377969	5.98061376236252e-10	6.65556874411486e-08	CPLM	1.114	109	20	82
Lrrtm4	type	wound	3.43230483992006	0.532672864697108	3.42694417653333e-09	3.55945268469262e-07	CPLM	1.01	109	15	86
Sdk1	type	wound	1.83410954733679	0.287164599830054	4.48099742200894e-09	4.3633712396812e-07	CPLM	1.01	109	31	72
Nckap5	type	wound	2.47706809312522	0.391881982668516	6.11930583196413e-09	5.29659915900006e-07	CPLM	1.01	109	25	77
Camta1	type	wound	1.9799845502493	0.313086042350537	6.02954981689106e-09	5.29659915900006e-07	CPLM	1.01	109	26	76
Il1rapl1	type	wound	3.08021376369365	0.488723110271753	6.67238301462314e-09	5.47135407199097e-07	CPLM	1.01	109	15	86
Gm32647	type	wound	3.63211996971709	0.59275767219866	1.51329267291945e-08	1.13818403108203e-06	CPLM	1.01	109	17	84
Fbxw4	type	wound	2.35711134333711	0.384862620897568	1.5341376542184e-08	1.13818403108203e-06	CPLM	1.01	109	23	79
Ccser1	type	wound	2.26526421988823	0.371878801808941	1.7893667569981e-08	1.26719700336502e-06	CPLM	1.01	109	23	79
