feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
Malat1	type	wound	-2.94633135407214	0.074489231313951	1.64142572762179e-240	2.24218754393136e-237	CPLM	1.277	1634	1429	13
Gm26917	type	wound	1.75922090460869	0.0582248451864694	1.17421551514751e-159	8.01989196845747e-157	CPLM	1.01	1634	1157	29
App	type	wound	2.6573766665207	0.0881387635110238	4.0891175480789e-159	1.86191152355859e-156	CPLM	1.01	1634	492	70
Fgfr2	type	wound	2.73803004533762	0.0914165573653962	1.92126049384439e-157	6.56110458647859e-155	CPLM	1.01	1634	408	75
Chl1	type	wound	4.96782653581144	0.166028676795139	3.40909154305987e-157	9.31363809563956e-155	CPLM	1.01	1634	275	83
Nkain2	type	wound	4.41055376892599	0.166047073260037	1.68557944169785e-129	3.83750252893211e-127	CPLM	1.01	1634	240	85
Cntnap2	type	wound	4.70574330094758	0.178286248971441	3.78480544677808e-128	7.38577748614123e-126	CPLM	1.01	1634	202	88
Ptprj	type	wound	2.84916923817406	0.108003835553191	4.91022643064534e-128	8.38421163032692e-126	CPLM	1.01	1634	333	80
Dlg2	type	wound	3.20342058194609	0.13561064061274	2.33132969684166e-106	3.53844040653968e-104	CPLM	1.01	1634	224	86
Sdk1	type	wound	2.02396051980741	0.0961784442756016	3.54656538772102e-87	4.84460831962691e-85	CPLM	1.158	1634	563	66
Rbfox1	type	wound	3.78089894489156	0.180211247841503	1.01494683915575e-86	1.2603794384425e-84	CPLM	1.01	1634	173	89
Ctnna3	type	wound	3.68572295434293	0.175792691546199	1.28116586799919e-86	1.45839381307241e-84	CPLM	1.01	1634	179	89
Fbxw4	type	wound	2.57922369942607	0.123489063798872	4.81411332582094e-86	5.05852215620877e-84	CPLM	1.01	1634	261	84
Sulf1	type	wound	1.75603445793174	0.0902556405572243	5.40236070812406e-76	5.27116051949819e-74	CPLM	1.01	1634	570	65
Lsamp	type	wound	2.07109737582316	0.108061529123952	5.24564453859328e-74	4.77703362647894e-72	CPLM	1.01	1634	490	70
Dlgap1	type	wound	3.48954537259791	0.184865379646641	4.83585737785631e-72	4.12861323634483e-70	CPLM	1.01	1634	172	89
Galnt17	type	wound	1.80991551220421	0.09969172969259	3.08676436858017e-67	2.48030595734148e-65	CPLM	1.01	1634	536	67
Zfhx3	type	wound	1.84362240965416	0.101766494859508	5.56413088875339e-67	4.22255710779841e-65	CPLM	1.01	1634	421	74
Ank3	type	wound	2.94485897652309	0.168524702425505	8.17801163288671e-63	5.87955994238066e-61	CPLM	1.01	1634	179	89
Gm19951	type	wound	1.38932369229029	0.0809725326352597	8.49728830458935e-61	5.80364791203453e-59	CPLM	1.01	1634	869	47
St3gal4	type	wound	1.78581303032455	0.106255021834789	1.37233329234627e-58	8.92670132069048e-57	CPLM	1.01	1634	482	71
Ephb2	type	wound	2.4550545438913	0.147264697240686	9.61960981956798e-58	5.97290318796812e-56	CPLM	1.01	1634	222	86
Cdk8	type	wound	1.27635480036607	0.076716845387721	1.55939737643392e-57	9.26146441829887e-56	CPLM	1.376	1634	1405	14
Tshz2	type	wound	1.47725844273817	0.0893730438406076	7.27038535206893e-57	4.13806099621923e-55	CPLM	1.231	1634	785	52
Cyp7b1	type	wound	2.22383120661955	0.137144934731587	6.10835414687307e-55	3.33760470585145e-53	CPLM	1.124	1634	318	81
Dpysl3	type	wound	1.83532420025416	0.116154581595174	1.93209116780241e-52	1.01509097508388e-50	CPLM	1.01	1634	408	75
Agbl1	type	wound	2.28711002378537	0.145699816539935	7.97557671588913e-52	4.03505103477946e-50	CPLM	1.01	1634	253	85
Zdhhc1	type	wound	1.9977023404979	0.127899140848506	2.31791414081029e-51	1.13081097012388e-49	CPLM	1.01	1634	343	79
Fhit	type	wound	1.97749118510447	0.127291477456608	7.2962862037845e-51	3.43680239805849e-49	CPLM	1.01	1634	320	80
Cyfip1	type	wound	1.930191590486	0.126419712355253	2.68534075194777e-49	1.22272515572022e-47	CPLM	1.01	1634	336	79
Gphn	type	wound	1.04537698233186	0.0687645365997626	6.48773715338985e-49	2.85878998436469e-47	CPLM	1.01	1634	1064	35
Camta1	type	wound	2.24268674426627	0.148012165793077	1.26896281704557e-48	5.41688502526327e-47	CPLM	1.01	1634	202	88
Dse	type	wound	1.50373675979892	0.102961011688826	1.69961353340078e-45	7.03536995947109e-44	CPLM	1.01	1634	616	62
Ptprd	type	wound	1.51236001888726	0.104631754548252	1.19352764560194e-44	4.79517283497721e-43	CPLM	1.105	1634	536	67
Gm10801	type	wound	10.4844227195738	0.730213248755876	4.09964829684109e-44	1.60003416385284e-42	CPLM	1.346	1634	357	78
Gm48099	type	wound	2.0932350891842	0.147184917938371	2.33227988480219e-43	8.84970645177721e-42	CPLM	1.01	1634	263	84
Mgat4c	type	wound	2.4133827314201	0.170552877419919	5.77579104288334e-43	2.13235961204828e-41	CPLM	1.151	1634	165	90
Ccser1	type	wound	1.83922053251665	0.133626995257422	7.33154120151021e-41	2.63549612664814e-39	CPLM	1.01	1634	309	81
Cacna1c	type	wound	2.27774612813076	0.166154885796471	1.45304942463046e-40	5.08939875396207e-39	CPLM	1.01	1634	171	90
Casp4	type	wound	2.33594843900042	0.17090844414566	2.40244062963898e-40	8.20433475021711e-39	CPLM	1.01	1634	169	90
Stk39	type	wound	1.75655483042288	0.135626879663398	1.37116521437576e-36	4.56832117765192e-35	CPLM	1.01	1634	297	82
Chsy3	type	wound	1.91743586360525	0.14957667076571	6.50180511451006e-36	2.11463471105256e-34	CPLM	1.01	1634	234	86
Snx4	type	wound	1.87267514092309	0.147870869294174	3.95357544182862e-35	1.25594977989253e-33	CPLM	1.01	1634	232	86
Plcb1	type	wound	1.63831110275926	0.131548066345527	4.45505589040917e-34	1.38309235143157e-32	CPLM	1.01	1634	314	81
Palld	type	wound	2.01746287736452	0.163129290781505	1.20006709675488e-33	3.64287034259371e-32	CPLM	1.01	1634	177	89
Dclk1	type	wound	1.53373772324724	0.126810585591139	2.59484870414353e-32	7.70557245621754e-31	CPLM	1.01	1634	386	76
Fam129b	type	wound	2.06903307214749	0.17192107066119	5.06241747777463e-32	1.4713323988596e-30	CPLM	1.01	1634	172	89
