""	"feature"	"metadata"	"value"	"coef"	"stderr"	"pval"	"qval"	"base.model"	"tweedie.index"	"N"	"N.not.zero"	"percent.zero"
"1"	"Gm42418"	"cat"	"Wound2"	0.21363055103899	0.0274721600126004	3.50613466833401e-14	1.83370843153869e-11	"CPLM"	1.011	573	571	0
"2"	"Malat1"	"cat"	"Wound2"	0.434086488672838	0.0723599849731047	3.52677133682673e-09	9.22250704580189e-07	"CPLM"	1.042	573	390	32
"3"	"Ppp2r2b"	"cat"	"Wound2"	-1.09400957479402	0.236928995137616	4.80313088688338e-06	0.000837345817946669	"CPLM"	1.039	573	72	87
"4"	"Pdgfrb"	"cat"	"Wound2"	0.133214525704194	0.0293777029225618	7.03792833097132e-06	0.0009202091292745	"CPLM"	1.99	573	573	0
"5"	"Cdk8"	"cat"	"Wound2"	0.188946387462494	0.0424287249795246	1.0176798791927e-05	0.00106449315363557	"CPLM"	1.033	573	516	10
"6"	"Gm26917"	"cat"	"Wound2"	0.251492821394932	0.0587638789318544	2.19445349641299e-05	0.00191283196437332	"CPLM"	1.067	573	432	25
"7"	"Gm10801"	"cat"	"Wound2"	0.139868380707238	0.034945989717063	7.0965062100413e-05	0.00530210392550228	"CPLM"	1.026	573	534	7
"8"	"Sulf1"	"cat"	"Wound2"	-0.586921432907308	0.154560530482864	0.00016190783227691	0.00994859365812624	"CPLM"	1.033	573	132	77
"9"	"Bach1"	"cat"	"Wound2"	-0.768653240751387	0.203178361827799	0.000171199508457239	0.00994859365812624	"CPLM"	1.034	573	87	85
"10"	"Lingo2"	"cat"	"Wound2"	0.676071292787334	0.183010343352903	0.000241817011220272	0.0126470296868202	"CPLM"	1.027	573	127	78
"11"	"Zfr"	"cat"	"Wound2"	-0.874117321316707	0.252505379530145	0.000576764156298689	0.0274225139767468	"CPLM"	1.033	573	62	89
"12"	"Gm10800"	"cat"	"Wound2"	0.165194875227303	0.0500271157935698	0.00101958128689812	0.0444367510873097	"CPLM"	1.053	573	462	19
"13"	"Cntfr"	"cat"	"Wound2"	0.605466157053453	0.187048313357848	0.00127816115060737	0.0456364215807421	"CPLM"	1.054	573	132	77
"14"	"Tgfbi"	"cat"	"Wound2"	0.420345004910139	0.130136142299028	0.0013088839841513	0.0456364215807421	"CPLM"	1.038	573	212	63
"15"	"Cmss1"	"cat"	"Wound2"	-0.344407222905556	0.105310498261156	0.00113866829876902	0.0456364215807421	"CPLM"	1.031	573	239	58
"16"	"Depdc5"	"cat"	"Wound2"	-0.828244426749471	0.267959938519697	0.00209258433920237	0.0684013505876776	"CPLM"	1.054	573	58	90
"17"	"Mid1"	"cat"	"Wound2"	-0.547937743741811	0.179276686520904	0.00234498040154765	0.0721426323534952	"CPLM"	1.036	573	110	81
"18"	"Gm32647"	"cat"	"Wound2"	-0.538582505096424	0.19469766362425	0.00585409448899736	0.167241972611679	"CPLM"	1.036	573	90	84
"19"	"Nxpe4"	"cat"	"Wound2"	-0.566841527382813	0.205828787707272	0.00607571219812983	0.167241972611679	"CPLM"	1.042	573	87	85
"20"	"Spag16"	"cat"	"Wound2"	-0.518608018202558	0.190163237909124	0.00658436270031954	0.172181084613356	"CPLM"	1.031	573	97	83
"21"	"Prkce"	"cat"	"Wound2"	0.628563028055378	0.233822902419541	0.00739346206423909	0.184132412361764	"CPLM"	1.029	573	88	85
"22"	"Cd300lf"	"cat"	"Wound2"	-0.677553826289241	0.25677569136356	0.00854960603765298	0.194410606856196	"CPLM"	1.035	573	59	90
"23"	"Gpc5"	"cat"	"Wound2"	0.448669896928704	0.169656815829931	0.00840441610587559	0.194410606856196	"CPLM"	1.024	573	138	76
"24"	"Anxa2"	"cat"	"Wound2"	-0.508843961221415	0.206220242156424	0.0138990394415542	0.302883234497203	"CPLM"	1.028	573	87	85
"25"	"Stk39"	"cat"	"Wound2"	-0.373804215489889	0.153717293504065	0.0153319135520844	0.308407337990005	"CPLM"	1.033	573	139	76
"26"	"Man1a"	"cat"	"Wound2"	-0.410608442876275	0.168474850031341	0.0151053648279092	0.308407337990005	"CPLM"	1.031	573	119	79
"27"	"Etl4"	"cat"	"Wound2"	0.460341156536826	0.196632664819233	0.0195689247299301	0.365519558348338	"CPLM"	1.033	573	110	81
"28"	"Htt"	"cat"	"Wound2"	-0.471072883526227	0.200703285355058	0.0192602543661988	0.365519558348338	"CPLM"	1.034	573	91	84
"29"	"Frmd4a"	"cat"	"Wound2"	-0.498825559669555	0.21563171602279	0.0210593047828321	0.379793669014524	"CPLM"	1.036	573	78	86
"30"	"Slco3a1"	"cat"	"Wound2"	-0.502987022198438	0.219871172079826	0.0225230078696971	0.38917086062525	"CPLM"	1.031	573	76	87
"31"	"Nrg1"	"cat"	"Wound2"	0.401419149776776	0.176179808926284	0.0230674888707127	0.38917086062525	"CPLM"	1.032	573	129	77
"32"	"Gphn"	"cat"	"Wound2"	-0.184608043292341	0.0817380186320044	0.0242889355235162	0.396972289962467	"CPLM"	1.035	573	323	44
